ID,Question,A,B,C,D,Answer,Subject
0,求 Z_8 x Z_10 x Z_24 某元素的最大可能阶数。,8,120,240,24,B,abstract_algebra
1,"在乘法模 10 下的群 G = {2, 4, 6, 8) 中，恒等元素是",6,8,4,2,A,abstract_algebra
2,陈述 1 | 4x - 2 在 Z 上不可约。陈述 2 | 4x - 2 在 Q 上不可约。,真，真,假，假,真，假,假，真,D,abstract_algebra
3,"若 A = (1, 2, 3, 4)。设 ~= {(1, 2), (1, 3), (4, 2)}。则 ~ 是",非反对称的,可传递的,自反的,对称的,B,abstract_algebra
4,陈述 1 | 每一个正整数 n 都有一个 n 阶的循环群。陈述 2 | 在每一个有限循环群中，对于每一个阶，都有一个元素能除以该群的阶。,真，真,假，假,真，假,假，真,A,abstract_algebra
0,舌前部左侧的区域淋巴引流至,左侧颏下淋巴结。,左侧和右侧颏下淋巴结。,左侧颌下淋巴结。,左侧和右侧颌下淋巴结。,B,anatomy
1,下列哪个器官能够清除血液中的胆红素、生成血浆蛋白且参与凝血酶原和纤维蛋白原的生成？,胆囊,肾,肝,脾,C,anatomy
2,与上颌窦的窦壁相关的结构是,眶底壁。,眶底壁和上后牙。,眶底壁、上后牙和颞下窝。,眶底壁、上后牙、颞下窝和硬腭。,C,anatomy
3,下列哪些孔裂在蝶骨上？,卵圆孔,卵圆孔和圆孔,卵圆孔、圆孔和棘孔,卵圆孔、圆孔、棘孔和裂孔,C,anatomy
4,脑干的生命中枢在哪？,中脑,脑桥,延髓,小脑,C,anatomy
0,为什么土星虽然质量较小，但几乎和木星一样大？,木星更大的质量对它的压缩更大，从而增加了它的密度。,土星的氢和氦比例比木星大，因此密度较小。,木星的强磁场限制了它的大小。,土星离太阳较远，温度较低，因此密度较低。,A,astronomy
1,20000 年后……,月球将离地球更近，地球的一天将更长。,月球将离地球更近，地球的一天将更短。,月球将离地球更远，地球的一天将更长。,月球将离地球更远，地球的一天将更短。,C,astronomy
2,地球的轴线以相对于围绕太阳的轨道平面大约……度的角度倾斜。,20.3 度,21.4 度,22.7 度,23.5 度,D,astronomy
3,为什么我们在任何时候看到的月球表面都基本相同？,因为月球有一个围绕地球的近乎圆形的轨道,因为月球不自转,因为只有在新月时，月球的另一面才会指向我们，而此时我们看不到月亮,因为月球的自转周期和轨道周期相等,D,astronomy
